Date,Production
196201,589
196202,561
196203,640
196204,656
196205,727
196206,697
196207,640
196208,599
196209,568
196210,577
196211,553
196212,582
196301,600
196302,566
196303,653
196304,673
196305,742
196306,716
196307,660
196308,617
196309,583
196310,587
196311,565
196312,598
196401,628
196402,618
196403,688
196404,705
196405,770
196406,736
196407,678
196408,639
196409,604
196410,611
196411,594
196412,634
196501,658
196502,622
196503,709
196504,722
196505,782
196506,756
196507,702
196508,653
196509,615
196510,621
196511,602
196512,635
196601,677
196602,635
196603,736
196604,755
196605,811
196606,798
196607,735
196608,697
196609,661
196610,667
196611,645
196612,688
196701,713
196702,667
196703,762
196704,784
196705,837
196706,817
196707,767
196708,722
196709,681
196710,687
196711,660
196712,698
196801,717
196802,696
196803,775
196804,796
196805,858
196806,826
196807,783
196808,740
196809,701
196810,706
196811,677
196812,711
196901,734
196902,690
196903,785
196904,805
196905,871
196906,845
196907,801
196908,764
196909,725
196910,723
196911,690
196912,734
197001,750
197002,707
197003,807
197004,824
197005,886
197006,859
197007,819
197008,783
197009,740
197010,747
197011,711
197012,751
197101,804
197102,756
197103,860
197104,878
197105,942
197106,913
197107,869
197108,834
197109,790
197110,800
197111,763
197112,800
197201,826
197202,799
197203,890
197204,900
197205,961
197206,935
197207,894
197208,855
197209,809
197210,810
197211,766
197212,805
197301,821
197302,773
197303,883
197304,898
197305,957
197306,924
197307,881
197308,837
197309,784
197310,791
197311,760
197312,802
197401,828
197402,778
197403,889
197404,902
197405,969
197406,947
197407,908
197408,867
197409,815
197410,812
197411,773
197412,813
197501,834
197502,782
197503,892
197504,903
197505,966
197506,937
197507,896
197508,858
197509,817
197510,827
197511,797
197512,843
